Posicion,Equipo,Puntos,Jugados,G,E,P,GF,GC,DG
1,River Plate,61,27,19,4,4,50,20,+30
2,Talleres (C),50,27,14,8,5,42,23,+19
3,San Lorenzo,46,27,12,10,5,23,13,+10
4,Lanus,45,27,12,9,6,38,27,+11
5,Estudiantes (LP),45,27,12,9,6,35,24,+11
6,Def y Justicia,44,27,12,8,7,36,23,+13
7,Boca Juniors,44,27,13,5,9,33,24,+9
8,Rosario Central,42,27,10,12,5,36,29,+7
9,Godoy Cruz,41,27,11,8,8,37,32,+5
10,Argentinos,40,27,11,7,9,31,22,+9
11,Atl Tucuman,37,27,9,10,8,25,27,-2
12,Racing Club,36,27,9,9,9,36,35,+1
13,Belgrano,36,27,10,6,11,20,26,-6
14,Newells,35,27,8,11,8,24,24,0
15,Barracas Central,35,27,8,11,8,25,30,-5
16,Tigre,34,27,9,7,11,27,29,-2
17,Platense,34,27,9,7,11,26,29,-3
18,Instituto,32,27,8,8,11,24,35,-11
19,Sarmiento (J),30,27,7,9,11,23,26,-3
20,Union,30,27,6,12,9,19,25,-6
21,Banfield,30,27,7,9,11,21,32,-11
22,Gimnasia (LP),30,27,7,9,11,24,38,-14
23,Central Cba (SdE),29,27,7,8,12,20,30,-10
24,Independiente,28,27,6,10,11,23,32,-9
25,Velez,27,27,5,12,10,24,27,-3
26,Huracan,25,27,6,7,14,18,29,-11
27,Colon,25,27,4,13,10,20,33,-13
28,Arsenal,22,27,6,4,17,18,34,-16
